,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,20,c5n.18xlarge/20,77.76,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,35.79881184
1,c5.24xlarge,20,c5.24xlarge/20,81.6,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,37.626712
12,z1d.12xlarge,20,z1d.12xlarge/20,89.28,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,41.1680496
0,m5.24xlarge,20,m5.24xlarge/20,92.16,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,42.4960512
7,c5d.24xlarge,20,c5d.24xlarge/20,92.16,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,42.4960512
13,i3.16xlarge,20,i3.16xlarge/20,99.84,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,46.0373888
6,m5d.24xlarge,20,m5d.24xlarge/20,108.48,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,50.0213936
11,m5n.24xlarge,20,m5n.24xlarge/20,114.24,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,52.59331616
8,r5.24xlarge,20,r5.24xlarge/20,120.96,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,55.7760672
10,m5dn.24xlarge,20,m5dn.24xlarge/20,130.56,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,60.10664704
3,r5d.24xlarge,20,r5d.24xlarge/20,138.24,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,63.7440768
2,r5n.24xlarge,20,r5n.24xlarge/20,143.04,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,65.85213536
14,r5dn.24xlarge,20,r5dn.24xlarge/20,160.32,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,73.80742688
4,i3en.24xlarge,20,i3en.24xlarge/20,216.96,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,0.8832,1657.3524,1656.0,3,0.0,1.3800000000000003,99.88310464
9,x1e.32xlarge,20,x1e.32xlarge/20,533.76,0.0,1,0,0,8.0,0.0,0.0,17.0,0.0,0.0,16,1,0,1,0,8,1,1656.0,0.4692,0.0,0.0,3.5328,1660.002,1656.0,3,0.0,1.3800000000000003,246.1229632
