,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,stat_time_period,time_load,scale,stat_price_sum
5,c5n.18xlarge,2,c5n.18xlarge/2,7.776,0.0,213.7,0.0,188.3,81.0,0,0,375.7,0.0,188.3,162,81,402,2160.0,10.14,0.0,25.42,8.75,27650.48,2160.0,,0.0,1.35,59.725
1,c5.24xlarge,2,c5.24xlarge/2,8.16,0.0,213.7,0.0,188.3,81.0,0,0,375.7,0.0,188.3,162,81,402,1620.0,10.14,0.0,101.68,34.99,27650.48,1620.0,,0.0,1.35,62.674
12,z1d.12xlarge,2,z1d.12xlarge/2,8.928,0.0,291.45,110.55,0.0,81.0,0,0,453.45,110.55,0.0,162,81,402,3240.0,12.24,37.31,0.0,34.99,27650.48,3240.0,,0.0,1.35,68.573
0,m5.24xlarge,2,m5.24xlarge/2,9.216,0.0,291.45,0.0,110.55,81.0,0,0,453.45,0.0,110.55,162,81,402,1620.0,12.24,0.0,59.7,34.99,27650.48,1620.0,,0.0,1.35,70.785
7,c5d.24xlarge,2,c5d.24xlarge/2,9.216,0.0,213.7,188.3,0.0,81.0,0,0,375.7,188.3,0.0,162,81,402,1620.0,10.14,31.78,0.0,34.99,27650.48,1620.0,,0.0,1.35,70.785
13,i3.16xlarge,2,i3.16xlarge/2,9.984,0.0,323.78,78.22,0.0,81.0,0,0,485.78,78.22,0.0,162,81,402,2430.0,13.12,6.6,0.0,34.99,27650.48,2430.0,,0.0,1.35,76.684
6,m5d.24xlarge,2,m5d.24xlarge/2,10.848,0.0,291.45,110.55,0.0,81.0,0,0,453.45,110.55,0.0,162,81,402,1620.0,12.24,18.66,0.0,34.99,27650.48,1620.0,,0.0,1.35,83.32
11,m5n.24xlarge,2,m5n.24xlarge/2,11.424,0.0,291.45,0.0,110.55,81.0,0,0,453.45,0.0,110.55,162,81,402,1620.0,12.24,0.0,14.92,8.75,27650.48,1620.0,,0.0,1.35,87.744
8,r5.24xlarge,2,r5.24xlarge/2,12.096,0.0,394.15,0.0,7.85,81.0,0,0,556.15,0.0,7.85,162,81,402,1620.0,15.02,0.0,4.24,34.99,27650.48,1620.0,,0.0,1.35,92.906
10,m5dn.24xlarge,2,m5dn.24xlarge/2,13.056,0.0,291.45,0.0,110.55,81.0,0,0,453.45,0.0,110.55,162,81,402,1620.0,12.24,0.0,14.92,8.75,27650.48,1620.0,,0.0,1.35,100.279
3,r5d.24xlarge,2,r5d.24xlarge/2,13.824,0.0,394.15,7.85,0.0,81.0,0,0,556.15,7.85,0.0,162,81,402,1620.0,15.02,1.32,0.0,34.99,27650.48,1620.0,,0.0,1.35,106.178
2,r5n.24xlarge,2,r5n.24xlarge/2,14.304,0.0,394.15,0.0,7.85,81.0,0,0,556.15,0.0,7.85,162,81,402,1620.0,15.02,0.0,1.06,8.75,27650.48,1620.0,,0.0,1.35,109.865
14,r5dn.24xlarge,2,r5dn.24xlarge/2,16.032,0.0,394.15,0.0,7.85,81.0,0,0,556.15,0.0,7.85,162,81,402,1620.0,15.02,0.0,1.06,8.75,27650.48,1620.0,,0.0,1.35,123.137
4,i3en.24xlarge,2,i3en.24xlarge/2,21.696,0.0,394.15,7.85,0.0,81.0,0,0,556.15,7.85,0.0,162,81,402,1620.0,15.02,0.66,0.0,8.75,27650.48,1620.0,,0.0,1.35,166.64
9,x1e.32xlarge,2,x1e.32xlarge/2,53.376,0.0,402.0,0.0,0.0,81.0,0,0,564.0,0.0,0.0,162,81,402,1215.0,15.23,0.0,0.0,34.99,27650.48,1215.0,,0.0,1.35,409.964
