,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,22,c5n.18xlarge/22,85.536,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,36.8354157122
1,c5.24xlarge,22,c5.24xlarge/22,89.76,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,38.7139295469
12,z1d.12xlarge,22,z1d.12xlarge/22,98.208,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,42.3575935042
0,m5.24xlarge,22,m5.24xlarge/22,101.376,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,43.7239674883
7,c5d.24xlarge,22,c5d.24xlarge/22,101.376,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,43.7239674883
13,i3.16xlarge,22,i3.16xlarge/22,109.824,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,47.3676314456
6,m5d.24xlarge,22,m5d.24xlarge/22,119.328,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,51.4667533976
11,m5n.24xlarge,22,m5n.24xlarge/22,125.664,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,54.1162280217
8,r5.24xlarge,22,r5.24xlarge/22,133.056,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,57.3877073283
10,m5dn.24xlarge,22,m5dn.24xlarge/22,143.616,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,61.847117739
3,r5d.24xlarge,22,r5d.24xlarge/22,152.064,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,65.5859512324
2,r5n.24xlarge,22,r5n.24xlarge/22,157.344,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,67.7589745817
14,r5dn.24xlarge,22,r5dn.24xlarge/22,176.352,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,75.9446225178
4,i3en.24xlarge,22,i3en.24xlarge/22,238.656,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,0.7952,1550.3121091,1549.0909091,3,0.0,1.4200000000000006,102.7753574193
9,x1e.32xlarge,22,x1e.32xlarge/22,587.136,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1549.0909091,0.426,0.0,0.0,3.1808,1552.6977091,1549.0909091,3,0.0,1.4200000000000006,253.2346450361
