,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,12,c5n.18xlarge/12,46.656,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,31.64769792
1,c5.24xlarge,12,c5.24xlarge/12,48.96,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,33.26231424
12,z1d.12xlarge,12,z1d.12xlarge/12,53.568,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,36.392884992
0,m5.24xlarge,12,m5.24xlarge/12,55.296,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,37.566849024
7,c5d.24xlarge,12,c5d.24xlarge/12,55.296,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,37.566849024
13,i3.16xlarge,12,i3.16xlarge/12,59.904,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,40.697419776
6,m5d.24xlarge,12,m5d.24xlarge/12,65.088,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,44.219311872
11,m5n.24xlarge,12,m5n.24xlarge/12,68.544,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,46.49476608
8,r5.24xlarge,12,r5.24xlarge/12,72.576,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,49.306489344
10,m5dn.24xlarge,12,m5dn.24xlarge/12,78.336,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,53.13687552
3,r5d.24xlarge,12,r5d.24xlarge/12,82.944,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,56.350273536
2,r5n.24xlarge,12,r5n.24xlarge/12,85.824,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,58.21613568
14,r5dn.24xlarge,12,r5dn.24xlarge/12,96.192,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,65.24895744
4,i3en.24xlarge,12,i3en.24xlarge/12,130.176,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,1.2688,2441.952,2440.0,3,0.0,1.2200000000000002,88.30098432
9,x1e.32xlarge,12,x1e.32xlarge/12,320.256,0.0,2.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,26,2.0,0.0,2.0,0.0,13,2,2440.0,0.6832,0.0,0.0,5.0752,2445.7584,2440.0,3,0.0,1.2200000000000002,217.574667264
