,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,7,c5n.18xlarge/7,27.216,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,29.054277504
1,c5.24xlarge,7,c5.24xlarge/7,28.56,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,30.53810368
12,z1d.12xlarge,7,z1d.12xlarge/7,31.248,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,33.412278144
0,m5.24xlarge,7,m5.24xlarge/7,32.256,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,34.490093568
7,c5d.24xlarge,7,c5d.24xlarge/7,32.256,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,34.490093568
13,i3.16xlarge,7,i3.16xlarge/7,34.944,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,37.364268032
6,m5d.24xlarge,7,m5d.24xlarge/7,37.968,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,40.597714304
11,m5n.24xlarge,7,m5n.24xlarge/7,39.984,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,42.684679296
8,r5.24xlarge,7,r5.24xlarge/7,42.336,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,45.268247808
10,m5dn.24xlarge,7,m5dn.24xlarge/7,45.696,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,48.782490624
3,r5d.24xlarge,7,r5d.24xlarge/7,48.384,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,51.735140352
2,r5n.24xlarge,7,r5n.24xlarge/7,50.064,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,53.445522816
14,r5dn.24xlarge,7,r5dn.24xlarge/7,56.112,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,59.902028928
4,i3en.24xlarge,7,i3en.24xlarge/7,75.936,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,2.0608,3843.1584,3840.0,3,0.0,1.12,81.065021184
9,x1e.32xlarge,7,x1e.32xlarge/7,186.816,0.0,3.0,0.0,0.0,23.0,0.0,0.0,49.0,0.0,0.0,46,3.0,0.0,3.0,0.0,23,3,3840.0,1.0976,0.0,0.0,8.2432,3849.3408,3840.0,3,0.0,1.12,199.755125248
