,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,4,c5n.18xlarge/4,15.552,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,27.49763808
1,c5.24xlarge,4,c5.24xlarge/4,16.32,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,28.9016773333
12,z1d.12xlarge,4,z1d.12xlarge/4,17.856,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,31.6218352
0,m5.24xlarge,4,m5.24xlarge/4,18.432,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,32.6418944
7,c5d.24xlarge,4,c5d.24xlarge/4,18.432,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,32.6418944
13,i3.16xlarge,4,i3.16xlarge/4,19.968,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,35.3620522667
6,m5d.24xlarge,4,m5d.24xlarge/4,21.696,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,38.4222298667
11,m5n.24xlarge,4,m5n.24xlarge/4,22.848,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,40.3977645867
8,r5.24xlarge,4,r5.24xlarge/4,24.192,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,42.8424864
10,m5dn.24xlarge,4,m5dn.24xlarge/4,26.112,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,46.1688738133
3,r5d.24xlarge,4,r5d.24xlarge/4,27.648,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,48.9628416
2,r5n.24xlarge,4,r5n.24xlarge/4,28.608,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,50.5820749867
14,r5dn.24xlarge,4,r5dn.24xlarge/4,32.064,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,56.6926612267
4,i3en.24xlarge,4,i3en.24xlarge/4,43.392,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,3.392,6365.194,6360.0,3,0.0,1.06,76.7218050133
9,x1e.32xlarge,4,x1e.32xlarge/4,106.752,0.0,5.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,80,5.0,0.0,5.0,0.0,40,5,6360.0,1.802,0.0,0.0,13.568,6375.37,6360.0,3,0.0,1.06,189.0509717333
