,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,32,c5n.18xlarge/32,124.416,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,42.025112064
1,c5.24xlarge,32,c5.24xlarge/32,130.56,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,44.17092864
12,z1d.12xlarge,32,z1d.12xlarge/32,142.848,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,48.328192512
0,m5.24xlarge,32,m5.24xlarge/32,147.456,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,49.887166464
7,c5d.24xlarge,32,c5d.24xlarge/32,147.456,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,49.887166464
13,i3.16xlarge,32,i3.16xlarge/32,159.744,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,54.044430336
6,m5d.24xlarge,32,m5d.24xlarge/32,173.568,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,58.721352192
11,m5n.24xlarge,32,m5n.24xlarge/32,182.784,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,61.740596736
8,r5.24xlarge,32,r5.24xlarge/32,193.536,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,65.476905984
10,m5dn.24xlarge,32,m5dn.24xlarge/32,208.896,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,70.560681984
3,r5d.24xlarge,32,r5d.24xlarge/32,221.184,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,74.830749696
2,r5n.24xlarge,32,r5n.24xlarge/32,228.864,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,77.305453056
14,r5dn.24xlarge,32,r5dn.24xlarge/32,256.512,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,86.644366848
4,i3en.24xlarge,32,i3en.24xlarge/32,347.136,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,0.648,1216.0044,1215.0,3,0.0,1.6200000000000006,117.255250944
9,x1e.32xlarge,32,x1e.32xlarge/32,854.016,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1215.0,0.3564,0.0,0.0,2.592,1217.9484,1215.0,3,0.0,1.6200000000000006,288.929839104
