,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,31,c5n.18xlarge/31,120.528,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,41.5052121594
1,c5.24xlarge,31,c5.24xlarge/31,126.48,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,43.622308266
12,z1d.12xlarge,31,z1d.12xlarge/31,138.384,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,47.7279372793
0,m5.24xlarge,31,m5.24xlarge/31,142.848,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,49.2675481592
7,c5d.24xlarge,31,c5d.24xlarge/31,142.848,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,49.2675481592
13,i3.16xlarge,31,i3.16xlarge/31,154.752,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,53.3731771725
6,m5d.24xlarge,31,m5d.24xlarge/31,168.144,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,57.9920098124
11,m5n.24xlarge,31,m5n.24xlarge/31,177.072,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,60.9767931724
8,r5.24xlarge,31,r5.24xlarge/31,187.488,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,64.663656959
10,m5dn.24xlarge,31,m5dn.24xlarge/31,202.368,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,69.6877636256
3,r5d.24xlarge,31,r5d.24xlarge/31,214.272,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,73.9013222388
2,r5n.24xlarge,31,r5n.24xlarge/31,221.712,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,76.3490939721
14,r5dn.24xlarge,31,r5dn.24xlarge/31,248.496,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,85.572474452
4,i3en.24xlarge,31,i3en.24xlarge/31,336.288,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,0.64,1239.7016773999999,1238.7096774,3,0.0,1.6000000000000005,115.8046660249
9,x1e.32xlarge,31,x1e.32xlarge/31,827.328,0.0,1,0,0,5.0,0.0,0.0,11.0,0.0,0.0,10,1,0,1,0,5,1,1238.7096774,0.352,0.0,0.0,2.56,1241.6216774,1238.7096774,3,0.0,1.6000000000000005,285.3412164222
