,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,stat_time_period,time_load,scale,stat_price_sum
5,c5n.18xlarge,1,c5n.18xlarge/1,3.888,0.0,317.2,0.0,482.8,121.87,0.0,38.13,560.94,0.0,559.0600000000001,320,160,800,200.0,11.22,0.0,55.91,12.8,3891.8500000000004,200.0,,0.0,1.0,4.203
1,c5.24xlarge,1,c5.24xlarge/1,4.08,0.0,317.2,0.0,482.8,121.87,0.0,38.13,560.94,0.0,559.0600000000001,320,160,800,150.0,11.22,0.0,223.62,51.2,3891.8500000000004,223.62,,0.0,1.0,4.411
12,z1d.12xlarge,1,z1d.12xlarge/1,4.464,0.0,432.6,367.4,0.0,160.0,0.0,0.0,752.6,367.4,0.0,320,160,800,300.0,15.05,91.85,0.0,51.2,3891.8500000000004,300.0,,0.0,1.0,4.826
0,m5.24xlarge,1,m5.24xlarge/1,4.608,0.0,432.6,0.0,367.4,160.0,0.0,0.0,752.6,0.0,367.4,320,160,800,150.0,15.05,0.0,146.96,51.2,3891.8500000000004,150.0,,0.0,1.0,4.982
7,c5d.24xlarge,1,c5d.24xlarge/1,4.608,0.0,317.2,482.8,0.0,121.87,38.13,0.0,560.94,559.0600000000001,0.0,320,160,800,150.0,11.22,69.88,0.0,51.2,3891.8500000000004,150.0,,0.0,1.0,4.982
13,i3.16xlarge,1,i3.16xlarge/1,4.992,0.0,480.6,319.4,0.0,160.0,0.0,0.0,800.6,319.4,0.0,320,160,800,225.0,16.01,19.96,0.0,51.2,3891.8500000000004,225.0,,0.0,1.0,5.397
6,m5d.24xlarge,1,m5d.24xlarge/1,5.424,0.0,432.6,367.4,0.0,160.0,0.0,0.0,752.6,367.4,0.0,320,160,800,150.0,15.05,45.92,0.0,51.2,3891.8500000000004,150.0,,0.0,1.0,5.864
11,m5n.24xlarge,1,m5n.24xlarge/1,5.712,0.0,432.6,0.0,367.4,160.0,0.0,0.0,752.6,0.0,367.4,320,160,800,150.0,15.05,0.0,36.74,12.8,3891.8500000000004,150.0,,0.0,1.0,6.175
8,r5.24xlarge,1,r5.24xlarge/1,6.048,0.0,585.05,0.0,214.95,160.0,0.0,0.0,905.05,0.0,214.95,320,160,800,150.0,18.1,0.0,85.98,51.2,3891.8500000000004,150.0,,0.0,1.0,6.538
10,m5dn.24xlarge,1,m5dn.24xlarge/1,6.528,0.0,432.6,0.0,367.4,160.0,0.0,0.0,752.6,0.0,367.4,320,160,800,150.0,15.05,0.0,36.74,12.8,3891.8500000000004,150.0,,0.0,1.0,7.057
3,r5d.24xlarge,1,r5d.24xlarge/1,6.912,0.0,585.05,214.95,0.0,160.0,0.0,0.0,905.05,214.95,0.0,320,160,800,150.0,18.1,26.87,0.0,51.2,3891.8500000000004,150.0,,0.0,1.0,7.472
2,r5n.24xlarge,1,r5n.24xlarge/1,7.152,0.0,585.05,0.0,214.95,160.0,0.0,0.0,905.05,0.0,214.95,320,160,800,150.0,18.1,0.0,21.49,12.8,3891.8500000000004,150.0,,0.0,1.0,7.732
14,r5dn.24xlarge,1,r5dn.24xlarge/1,8.016,0.0,585.05,0.0,214.95,160.0,0.0,0.0,905.05,0.0,214.95,320,160,800,150.0,18.1,0.0,21.49,12.8,3891.8500000000004,150.0,,0.0,1.0,8.666
4,i3en.24xlarge,1,i3en.24xlarge/1,10.848,0.0,585.05,214.95,0.0,160.0,0.0,0.0,905.05,214.95,0.0,320,160,800,150.0,18.1,13.43,0.0,12.8,3891.8500000000004,150.0,,0.0,1.0,11.727
9,x1e.32xlarge,1,x1e.32xlarge/1,26.688,0.0,800.0,0.0,0.0,160.0,0.0,0.0,1120.0,0.0,0.0,320,160,800,112.5,22.4,0.0,0.0,51.2,3891.8500000000004,112.5,,0.0,1.0,28.852
