,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,27,c5n.18xlarge/27,104.976,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,39.4311991677
1,c5.24xlarge,27,c5.24xlarge/27,110.16,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,41.4453961597
12,z1d.12xlarge,27,z1d.12xlarge/27,120.528,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,45.3461393276
0,m5.24xlarge,27,m5.24xlarge/27,124.416,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,46.8089180156
7,c5d.24xlarge,27,c5d.24xlarge/27,124.416,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,46.8089180156
13,i3.16xlarge,27,i3.16xlarge/27,134.784,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,50.7096611836
6,m5d.24xlarge,27,m5d.24xlarge/27,146.448,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,55.0979972475
11,m5n.24xlarge,27,m5n.24xlarge/27,154.224,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,57.9297864315
8,r5.24xlarge,27,r5.24xlarge/27,163.296,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,61.4367048955
10,m5dn.24xlarge,27,m5dn.24xlarge/27,176.256,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,66.2054702075
3,r5d.24xlarge,27,r5d.24xlarge/27,186.624,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,70.2133770234
2,r5n.24xlarge,27,r5n.24xlarge/27,193.104,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,72.5339342714
14,r5dn.24xlarge,27,r5dn.24xlarge/27,216.432,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,81.2964229753
4,i3en.24xlarge,27,i3en.24xlarge/27,292.896,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,0.7296,1352.2359111,1351.1111111,3,0.0,1.5200000000000005,110.0179137271
9,x1e.32xlarge,27,x1e.32xlarge/27,720.576,0.0,1,0,0,6.0,0.0,0.0,13.0,0.0,0.0,12,1,0,1,0,6,1,1351.1111111,0.3952,0.0,0.0,2.9184,1354.4247111,1351.1111111,3,0.0,1.5200000000000005,271.1016501738
