,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,10,c5n.18xlarge/10,38.88,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,30.61057824
1,c5.24xlarge,10,c5.24xlarge/10,40.8,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,32.1735653333
12,z1d.12xlarge,10,z1d.12xlarge/10,44.64,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,35.2016656
0,m5.24xlarge,10,m5.24xlarge/10,46.08,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,36.3372032
7,c5d.24xlarge,10,c5d.24xlarge/10,46.08,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,36.3372032
13,i3.16xlarge,10,i3.16xlarge/10,49.92,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,39.3653034667
6,m5d.24xlarge,10,m5d.24xlarge/10,54.24,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,42.7719162667
11,m5n.24xlarge,10,m5n.24xlarge/10,57.12,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,44.9710964267
8,r5.24xlarge,10,r5.24xlarge/10,60.48,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,47.6925792
10,m5dn.24xlarge,10,m5dn.24xlarge/10,65.28,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,51.3955387733
3,r5d.24xlarge,10,r5d.24xlarge/10,69.12,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,54.5058048
2,r5n.24xlarge,10,r5n.24xlarge/10,71.52,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,56.3083476267
14,r5dn.24xlarge,10,r5dn.24xlarge/10,80.16,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,63.1106983467
4,i3en.24xlarge,10,i3en.24xlarge/10,108.48,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,1.5104,2834.3128,2832.0,3,0.0,1.1800000000000002,85.4072923733
9,x1e.32xlarge,10,x1e.32xlarge/10,266.88,0.0,2.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,0.0,32,2.0,0.0,2.0,0.0,16,2,2832.0,0.8024,0.0,0.0,6.0416,2838.844,2832.0,3,0.0,1.1800000000000002,210.4529685333
