,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,24,c5n.18xlarge/24,93.312,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,37.875745152
1,c5.24xlarge,24,c5.24xlarge/24,97.92,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,39.81286848
12,z1d.12xlarge,24,z1d.12xlarge/24,107.136,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,43.559961984
0,m5.24xlarge,24,m5.24xlarge/24,110.592,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,44.965122048
7,c5d.24xlarge,24,c5d.24xlarge/24,110.592,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,44.965122048
13,i3.16xlarge,24,i3.16xlarge/24,119.808,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,48.712215552
6,m5d.24xlarge,24,m5d.24xlarge/24,130.176,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,52.927695744
11,m5n.24xlarge,24,m5n.24xlarge/24,137.088,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,55.644613248
8,r5.24xlarge,24,r5.24xlarge/24,145.152,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,59.016722688
10,m5dn.24xlarge,24,m5dn.24xlarge/24,156.672,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,63.593843712
3,r5d.24xlarge,24,r5d.24xlarge/24,165.888,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,67.447683072
2,r5n.24xlarge,24,r5n.24xlarge/24,171.648,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,69.672667008
14,r5dn.24xlarge,24,r5dn.24xlarge/24,192.384,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,78.089499264
4,i3en.24xlarge,24,i3en.24xlarge/24,260.352,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,0.8176,1461.2556,1460.0,3,0.0,1.4600000000000004,105.678004992
9,x1e.32xlarge,24,x1e.32xlarge/24,640.512,0.0,1,0,0,7.0,0.0,0.0,15.0,0.0,0.0,14,1,0,1,0,7,1,1460.0,0.438,0.0,0.0,3.2704,1463.7084,1460.0,3,0.0,1.4600000000000004,260.422998528
