,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,17,c5n.18xlarge/17,66.096,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,34.2410587206
1,c5.24xlarge,17,c5.24xlarge/17,69.36,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,35.9869083207
12,z1d.12xlarge,17,z1d.12xlarge/17,75.888,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,39.3739114567
0,m5.24xlarge,17,m5.24xlarge/17,78.336,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,40.6440376328
7,c5d.24xlarge,17,c5d.24xlarge/17,78.336,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,40.6440376328
13,i3.16xlarge,17,i3.16xlarge/17,84.864,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,44.0310407688
6,m5d.24xlarge,17,m5d.24xlarge/17,92.208,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,47.8414192969
11,m5n.24xlarge,17,m5n.24xlarge/17,97.104,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,50.304765281
8,r5.24xlarge,17,r5.24xlarge/17,102.816,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,53.345299393
10,m5dn.24xlarge,17,m5dn.24xlarge/17,110.976,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,57.4911603211
3,r5d.24xlarge,17,r5d.24xlarge/17,117.504,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,60.9660564492
2,r5n.24xlarge,17,r5n.24xlarge/17,121.584,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,62.9866388812
14,r5dn.24xlarge,17,r5dn.24xlarge/17,136.272,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,70.5957630413
4,i3en.24xlarge,17,i3en.24xlarge/17,184.416,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,0.9504,1864.9814118,1863.5294118,3,0.0,1.3200000000000003,95.5367811218
9,x1e.32xlarge,17,x1e.32xlarge/17,453.696,0.0,1,0,0,9.0,0.0,0.0,19.0,0.0,0.0,18,1,0,1,0,9,1,1863.5294118,0.5016,0.0,0.0,3.8016,1867.8326118,1863.5294118,3,0.0,1.3200000000000003,235.3967179564
