,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,16,c5n.18xlarge/16,62.208,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,33.72340608
1,c5.24xlarge,16,c5.24xlarge/16,65.28,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,35.4453354667
12,z1d.12xlarge,16,z1d.12xlarge/16,71.424,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,38.78136704
0,m5.24xlarge,16,m5.24xlarge/16,73.728,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,40.03237888
7,c5d.24xlarge,16,c5d.24xlarge/16,73.728,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,40.03237888
13,i3.16xlarge,16,i3.16xlarge/16,79.872,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,43.3684104533
6,m5d.24xlarge,16,m5d.24xlarge/16,86.784,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,47.1214459733
11,m5n.24xlarge,16,m5n.24xlarge/16,91.392,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,49.5442632533
8,r5.24xlarge,16,r5.24xlarge/16,96.768,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,52.54249728
10,m5dn.24xlarge,16,m5dn.24xlarge/16,104.448,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,56.6220151467
3,r5d.24xlarge,16,r5d.24xlarge/16,110.592,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,60.04856832
2,r5n.24xlarge,16,r5n.24xlarge/16,114.432,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,62.0344136533
14,r5dn.24xlarge,16,r5dn.24xlarge/16,128.256,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,69.5285038933
4,i3en.24xlarge,16,i3en.24xlarge/16,173.568,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,1.04,1951.586,1950.0,3,0.0,1.3000000000000003,94.0924663467
9,x1e.32xlarge,16,x1e.32xlarge/16,427.008,0.0,1,0,0,10.0,0.0,0.0,21.0,0.0,0.0,20,1,0,1,0,10,1,1950.0,0.546,0.0,0.0,4.16,1954.706,1950.0,3,0.0,1.3000000000000003,231.8541943467
