,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,11,c5n.18xlarge/11,42.768,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,31.1302310402
1,c5.24xlarge,11,c5.24xlarge/11,44.88,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,32.7213824002
12,z1d.12xlarge,11,z1d.12xlarge/11,49.104,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,35.8010419202
0,m5.24xlarge,11,m5.24xlarge/11,50.688,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,36.9559142403
7,c5d.24xlarge,11,c5d.24xlarge/11,50.688,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,36.9559142403
13,i3.16xlarge,11,i3.16xlarge/11,54.912,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,40.0355737603
6,m5d.24xlarge,11,m5d.24xlarge/11,59.664,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,43.5001907203
11,m5n.24xlarge,11,m5n.24xlarge/11,62.832,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,45.7345369603
8,r5.24xlarge,11,r5.24xlarge/11,66.528,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,48.5046374403
10,m5dn.24xlarge,11,m5dn.24xlarge/11,71.808,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,52.2680422404
3,r5d.24xlarge,11,r5d.24xlarge/11,76.032,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,55.4338713604
2,r5n.24xlarge,11,r5n.24xlarge/11,78.672,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,57.2642521604
14,r5dn.24xlarge,11,r5dn.24xlarge/11,88.176,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,64.1820812804
4,i3en.24xlarge,11,i3en.24xlarge/11,119.328,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,1.44,2620.3898182000003,2618.1818182,3,0.0,1.2000000000000002,86.8571878406
9,x1e.32xlarge,11,x1e.32xlarge/11,293.568,0.0,2.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,30,2.0,0.0,2.0,0.0,15,2,2618.1818182,0.768,0.0,0.0,5.76,2624.7098182,2618.1818182,3,0.0,1.2000000000000002,214.0363366415
