,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,stat_time_period,time_load,scale,stat_price_sum
5,c5n.18xlarge,1,c5n.18xlarge/1,3.888,0.0,317.89,0.0,485.11,122.58,0.0,39.42,563.05,0.0,563.95,324,162,803,3200.0,11.26,0.0,56.4,12.96,41217.22,3200.0,,0.0,1.0,44.515
1,c5.24xlarge,1,c5.24xlarge/1,4.08,0.0,317.89,0.0,485.11,122.58,0.0,39.42,563.05,0.0,563.95,324,162,803,2400.0,11.26,0.0,225.58,51.84,41217.22,2400.0,,0.0,1.0,46.713
12,z1d.12xlarge,1,z1d.12xlarge/1,4.464,0.0,433.54,369.46,0.0,162.0,0.0,0.0,757.54,369.46,0.0,324,162,803,4800.0,15.15,92.36,0.0,51.84,41217.22,4800.0,,0.0,1.0,51.109
0,m5.24xlarge,1,m5.24xlarge/1,4.608,0.0,433.54,0.0,369.46,162.0,0.0,0.0,757.54,0.0,369.46,324,162,803,2400.0,15.15,0.0,147.78,51.84,41217.22,2400.0,,0.0,1.0,52.758
7,c5d.24xlarge,1,c5d.24xlarge/1,4.608,0.0,317.89,485.11,0.0,122.58,39.42,0.0,563.05,563.95,0.0,324,162,803,2400.0,11.26,70.49,0.0,51.84,41217.22,2400.0,,0.0,1.0,52.758
13,i3.16xlarge,1,i3.16xlarge/1,4.992,0.0,481.64,321.36,0.0,162.0,0.0,0.0,805.64,321.36,0.0,324,162,803,3600.0,16.11,20.08,0.0,51.84,41217.22,3600.0,,0.0,1.0,57.155
6,m5d.24xlarge,1,m5d.24xlarge/1,5.424,0.0,433.54,369.46,0.0,162.0,0.0,0.0,757.54,369.46,0.0,324,162,803,2400.0,15.15,46.18,0.0,51.84,41217.22,2400.0,,0.0,1.0,62.101
11,m5n.24xlarge,1,m5n.24xlarge/1,5.712,0.0,433.54,0.0,369.46,162.0,0.0,0.0,757.54,0.0,369.46,324,162,803,2400.0,15.15,0.0,36.95,12.96,41217.22,2400.0,,0.0,1.0,65.398
8,r5.24xlarge,1,r5.24xlarge/1,6.048,0.0,586.32,0.0,216.68,162.0,0.0,0.0,910.32,0.0,216.68,324,162,803,2400.0,18.21,0.0,86.67,51.84,41217.22,2400.0,,0.0,1.0,69.245
10,m5dn.24xlarge,1,m5dn.24xlarge/1,6.528,0.0,433.54,0.0,369.46,162.0,0.0,0.0,757.54,0.0,369.46,324,162,803,2400.0,15.15,0.0,36.95,12.96,41217.22,2400.0,,0.0,1.0,74.741
3,r5d.24xlarge,1,r5d.24xlarge/1,6.912,0.0,586.32,216.68,0.0,162.0,0.0,0.0,910.32,216.68,0.0,324,162,803,2400.0,18.21,27.08,0.0,51.84,41217.22,2400.0,,0.0,1.0,79.137
2,r5n.24xlarge,1,r5n.24xlarge/1,7.152,0.0,586.32,0.0,216.68,162.0,0.0,0.0,910.32,0.0,216.68,324,162,803,2400.0,18.21,0.0,21.67,12.96,41217.22,2400.0,,0.0,1.0,81.885
14,r5dn.24xlarge,1,r5dn.24xlarge/1,8.016,0.0,586.32,0.0,216.68,162.0,0.0,0.0,910.32,0.0,216.68,324,162,803,2400.0,18.21,0.0,21.67,12.96,41217.22,2400.0,,0.0,1.0,91.777
4,i3en.24xlarge,1,i3en.24xlarge/1,10.848,0.0,586.32,216.68,0.0,162.0,0.0,0.0,910.32,216.68,0.0,324,162,803,2400.0,18.21,13.54,0.0,12.96,41217.22,2400.0,,0.0,1.0,124.201
9,x1e.32xlarge,1,x1e.32xlarge/1,26.688,0.0,803.0,0.0,0.0,162.0,0.0,0.0,1127.0,0.0,0.0,324,162,803,1800.0,22.54,0.0,0.0,51.84,41217.22,1800.0,,0.0,1.0,305.557
