,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,stat_time_period,time_load,scale,stat_price_sum
5,c5n.18xlarge,1,c5n.18xlarge/1,3.888,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,3000.0,0.14,0.0,0.0,0.16,37321.32,3000.0,,0.0,1.0,40.307
1,c5.24xlarge,1,c5.24xlarge/1,4.08,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,42.297
12,z1d.12xlarge,1,z1d.12xlarge/1,4.464,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,4500.0,0.14,0.0,0.0,0.64,37321.32,4500.0,,0.0,1.0,46.278
0,m5.24xlarge,1,m5.24xlarge/1,4.608,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,47.771
7,c5d.24xlarge,1,c5d.24xlarge/1,4.608,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,47.771
13,i3.16xlarge,1,i3.16xlarge/1,4.992,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,3375.0,0.14,0.0,0.0,0.64,37321.32,3375.0,,0.0,1.0,51.752
6,m5d.24xlarge,1,m5d.24xlarge/1,5.424,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,56.231
11,m5n.24xlarge,1,m5n.24xlarge/1,5.712,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.16,37321.32,2250.0,,0.0,1.0,59.216
8,r5.24xlarge,1,r5.24xlarge/1,6.048,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,62.7
10,m5dn.24xlarge,1,m5dn.24xlarge/1,6.528,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.16,37321.32,2250.0,,0.0,1.0,67.676
3,r5d.24xlarge,1,r5d.24xlarge/1,6.912,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.64,37321.32,2250.0,,0.0,1.0,71.657
2,r5n.24xlarge,1,r5n.24xlarge/1,7.152,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.16,37321.32,2250.0,,0.0,1.0,74.145
14,r5dn.24xlarge,1,r5dn.24xlarge/1,8.016,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.16,37321.32,2250.0,,0.0,1.0,83.102
4,i3en.24xlarge,1,i3en.24xlarge/1,10.848,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,2250.0,0.14,0.0,0.0,0.16,37321.32,2250.0,,0.0,1.0,112.462
9,x1e.32xlarge,1,x1e.32xlarge/1,26.688,0.0,3.0,0,0,2.0,0,0,7.0,0,0,4,2,3,1687.5,0.14,0.0,0.0,0.64,37321.32,1687.5,,0.0,1.0,276.675
