,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,2,c5n.18xlarge/2,7.776,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,26.45999136
1,c5.24xlarge,2,c5.24xlarge/2,8.16,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,27.811048
12,z1d.12xlarge,2,z1d.12xlarge/2,8.928,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,30.4285584
0,m5.24xlarge,2,m5.24xlarge/2,9.216,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,31.4101248
7,c5d.24xlarge,2,c5d.24xlarge/2,9.216,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,31.4101248
13,i3.16xlarge,2,i3.16xlarge/2,9.984,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,34.0276352
6,m5d.24xlarge,2,m5d.24xlarge/2,10.848,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,36.9723344
11,m5n.24xlarge,2,m5n.24xlarge/2,11.424,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,38.87332064
8,r5.24xlarge,2,r5.24xlarge/2,12.096,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,41.2257888
10,m5dn.24xlarge,2,m5dn.24xlarge/2,13.056,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,44.42665216
3,r5d.24xlarge,2,r5d.24xlarge/2,13.824,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,47.1151872
2,r5n.24xlarge,2,r5n.24xlarge/2,14.304,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,48.67331744
14,r5dn.24xlarge,2,r5dn.24xlarge/2,16.032,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,54.55331552
4,i3en.24xlarge,2,i3en.24xlarge/2,21.696,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,6.528,12249.996,12240.0,3,0.0,1.02,73.82664256
9,x1e.32xlarge,2,x1e.32xlarge/2,53.376,0.0,10.0,0.0,0.0,80.0,0.0,0.0,170.0,0.0,0.0,160,10.0,0.0,10.0,0.0,80,10,12240.0,3.468,0.0,0.0,26.112,12269.58,12240.0,3,0.0,1.02,181.9169728
