,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,15,c5n.18xlarge/15,58.32,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,33.20538624
1,c5.24xlarge,15,c5.24xlarge/15,61.2,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,34.9026048
12,z1d.12xlarge,15,z1d.12xlarge/15,66.96,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,38.18755584
0,m5.24xlarge,15,m5.24xlarge/15,69.12,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,39.41941248
7,c5d.24xlarge,15,c5d.24xlarge/15,69.12,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,39.41941248
13,i3.16xlarge,15,i3.16xlarge/15,74.88,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,42.70436352
6,m5d.24xlarge,15,m5d.24xlarge/15,81.36,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,46.39993344
11,m5n.24xlarge,15,m5n.24xlarge/15,85.68,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,48.78322176
8,r5.24xlarge,15,r5.24xlarge/15,90.72,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,51.73797888
10,m5dn.24xlarge,15,m5dn.24xlarge/15,97.92,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,55.75225344
3,r5d.24xlarge,15,r5d.24xlarge/15,103.68,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,59.12911872
2,r5n.24xlarge,15,r5n.24xlarge/15,107.28,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,61.08151296
14,r5dn.24xlarge,15,r5dn.24xlarge/15,120.24,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,68.46048768
4,i3en.24xlarge,15,i3en.24xlarge/15,162.72,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,1.1264,2049.7152,2048.0,3,0.0,1.2800000000000002,92.64712704
9,x1e.32xlarge,15,x1e.32xlarge/15,400.32,0.0,1,0,0,11.0,0.0,0.0,23.0,0.0,0.0,22,1,0,1,0,11,1,2048.0,0.5888,0.0,0.0,4.5056,2053.0944,2048.0,3,0.0,1.2800000000000002,228.30409728
