,warehouse_id,query_id,total_duration,cpu_h,total_reads,cache_skew,first_read_from_s3,spooling_fraction,spooling_skew,spooling_read_sum,scaling_param,max_cores,max_instance_count
310,4.593888247507564e+17,1.0948204185878259e+18,2.694,3.0555555555555554e-05,2.288818359375e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
315,4.593888247507564e+17,7.428773362190936e+18,7.246,0.0023888888888888887,0.5796827971935272,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
321,5.678410765248603e+18,7.873822308509912e+18,1.907,8.333333333333333e-05,0.0016536712646484375,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
328,3.9905677801061335e+18,3.658387806280685e+17,5.786,0.00045000000000000004,0.013675838708877563,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
344,1.9247941833893622e+18,8.711269009283005e+18,1.534,4.9999999999999996e-05,6.103515625e-05,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
357,7.951900392463545e+18,2.882300435481103e+18,5.026,0.00018333333333333334,0.002056121826171875,1e-05,False,0.0,0.0001,0.0,0.95,4.0,1
375,1.479787572294786e+18,3.4426218525098414e+18,1.211,0.00044444444444444447,0.06139373779296875,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
398,4.8353201053230906e+17,7.439723523109977e+18,2.696,2.4999999999999998e-05,6.29425048828125e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
399,4.8353201053230906e+17,8.897364897738007e+18,3.8,0.00037222222222222225,0.003958702087402344,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
410,4.593888247507564e+17,8.248077989062916e+18,6.057,0.0006777777777777778,0.0015492439270019531,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
411,4.593888247507564e+17,3.9733214373247073e+18,2.631,0.0010388888888888889,0.42470359802246094,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
414,4.593888247507564e+17,1.7638105294422698e+17,29.183,0.025016666666666666,2.7124599516391754,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
416,4.593888247507564e+17,9.53087999210729e+17,0.961,2.777777777777778e-06,4.76837158203125e-06,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
419,4.593888247507564e+17,1.5216996145454024e+18,1.841,0.0004388888888888889,0.1619582176208496,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
496,9.065742722817183e+18,5.698808056710235e+18,0.581,1.388888888888889e-05,0.0017701685428619385,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
500,9.065742722817183e+18,1.0788277305764366e+17,29.606,0.0029694444444444443,0.5410225987434387,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
513,4.8353201053230906e+17,2.323802119206365e+18,18.855,0.00015000000000000001,0.0024901926517486572,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
528,9.065742722817183e+18,4.848308500234232e+18,0.932,9.166666666666667e-05,0.028768062591552734,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
548,7.63745490343138e+18,2.1499309280451008e+18,0.188,8.333333333333334e-06,8.440017700195312e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
549,7.63745490343138e+18,8.853985570727499e+18,2.709,2.777777777777778e-05,0.0006875991821289062,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
581,4.8353201053230906e+17,8.828013478518555e+18,12.743,0.0006138888888888889,0.009289741516113281,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
585,5.439720928584716e+18,2.9618183117096023e+18,7.099,0.004177777777777778,0.0433049201965332,1e-05,False,1.5114350837398285,0.0001,0.06545257568359375,0.95,8.0,1
626,7.951900392463545e+18,4.792364152609651e+18,2.817,0.000125,0.002029895782470703,1e-05,False,0.0,0.0001,0.0,0.95,4.0,1
631,9.065742722817183e+18,4.860585612353341e+18,6.776,6.111111111111111e-05,0.00023412704467773438,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
634,9.065742722817183e+18,4.426587186653297e+17,15.846,0.0021333333333333334,0.23072662949562073,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
640,4.8353201053230906e+17,6.223194818705192e+18,4.338,0.0013722222222222224,0.0059356689453125,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
643,1.7717513384293824e+18,8.95102429175614e+17,2.069,0.00011111111111111112,0.0011887550354003906,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
663,4.8353201053230906e+17,8.713239897775956e+18,3.37,0.00038888888888888887,0.0014882087707519531,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
672,6.741306902451816e+18,6.225116693904296e+18,20.758,0.007413888888888889,0.439361572265625,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
673,6.741306902451816e+18,8.380620553018364e+18,2.823,0.0004805555555555556,0.01887226104736328,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
674,6.741306902451816e+18,2.9763793384907494e+18,21.227,0.007325,0.4270896911621094,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
677,2.3378700100672553e+18,6.465654764537565e+17,0.924,3.0555555555555554e-05,2.86102294921875e-06,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
678,2.3378700100672553e+18,1.3327172349684861e+18,2.163,3.611111111111111e-05,0.0010213851928710938,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
679,2.3378700100672553e+18,6.158292439666387e+18,4.607,0.0003861111111111111,0.020092308521270752,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
680,2.3378700100672553e+18,6.001272773991141e+18,5.685,0.0007638888888888889,0.03871423006057739,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
694,9.065742722817183e+18,4.376557646025256e+18,0.957,2.2222222222222223e-05,0.0002786219120025635,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
696,9.192561068504271e+18,6.035476440817509e+18,1.146,0.0003027777777777778,0.03573155403137207,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
697,9.065742722817183e+18,6.559288673223914e+18,41.915,0.01962222222222222,0.6780323386192322,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
702,6.908167271066536e+18,6.650709468920886e+18,1.768,0.00019166666666666665,0.04241037368774414,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
709,6.549060316717661e+18,9.074118052819604e+18,1.813,3.888888888888889e-05,0.0005588531494140625,1e-05,False,0.0,0.0001,0.0,0.95,4.0,1
710,6.549060316717661e+18,8.381885718769889e+17,2.081,4.1666666666666665e-05,0.0005588531494140625,1e-05,False,0.0,0.0001,0.0,0.95,4.0,1
711,4.566059884658954e+18,6.760142824581482e+18,0.983,2.4999999999999998e-05,0.0004946291446685791,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
713,7.127939442660482e+18,7.268094883973316e+18,0.751,5.833333333333333e-05,9.1552734375e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
715,8.38417233756068e+18,2.0077533954656643e+18,0.741,3.0555555555555554e-05,5.435943603515625e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
716,7.127939442660482e+18,3.0771800893218094e+18,104.993,0.10825277777777777,0.33642035722732544,1e-05,False,10.710917425454852,1e-05,3.6033706665039062,0.95,8.0,1
719,7.127939442660482e+18,5.95909218574854e+18,10.581,0.0022611111111111113,0.0016036033630371094,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
720,7.127939442660482e+18,8.456552712502029e+18,2.195,0.00035555555555555557,0.0010132789611816406,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
737,4.8353201053230906e+17,6.66988657425439e+18,6.853,0.0001388888888888889,0.0016002655029296875,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
738,4.8353201053230906e+17,1.630331447127001e+18,20.671,0.00014166666666666668,0.0003619194030761719,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
748,4.206280523802522e+18,1.4703480462933942e+18,12.779,4.4444444444444447e-05,1.4781951904296875e-05,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
786,1.9247941833893622e+18,5.965302065808413e+18,4.662,0.0001527777777777778,0.0009326934814453125,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
